endInstructions.keys,endInstructions.rt,trials.maxVal,trials.minVal,trials.label,trials.stepSizes,trials.startVal,trials.sf,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.stepType,trials.intensity,trials.response,date,frameRate,expName,session,participant,
,,1,0,high_8,"[4, 2, 2, 1]",0.1,8,3,27,106,up,1,db,0.125892541179,1,2016_maj_03_1140,74.9501921946,interleaved_SF_contrast,001,2,
,,1,0,high_2,"[4, 2, 2, 1]",0.1,2,1,27,107,down,1,db,0.0125892541179,1,2016_maj_03_1140,74.9501921946,interleaved_SF_contrast,001,2,
,,1,0,low_8,"[4, 2, 2, 1]",0.001,8,2,28,108,up,2,db,0.0125892541179,1,2016_maj_03_1140,74.9501921946,interleaved_SF_contrast,001,2,
,,1,0,high_2,"[4, 2, 2, 1]",0.1,2,1,28,109,down,1,db,0.0125892541179,0,2016_maj_03_1140,74.9501921946,interleaved_SF_contrast,001,2,
,,1,0,high_8,"[4, 2, 2, 1]",0.1,8,3,28,110,up,1,db,0.125892541179,1,2016_maj_03_1140,74.9501921946,interleaved_SF_contrast,001,2,
,,1,0,low_2,"[4, 2, 2, 1]",0.001,2,0,28,111,up,1,db,0.01,0,2016_maj_03_1140,74.9501921946,interleaved_SF_contrast,001,2,
,,1,0,high_2,"[4, 2, 2, 1]",0.1,2,1,29,112,up,1,db,0.0141253754462,1,2016_maj_03_1140,74.9501921946,interleaved_SF_contrast,001,2,
,,1,0,low_8,"[4, 2, 2, 1]",0.001,8,2,29,113,up,2,db,0.0125892541179,1,2016_maj_03_1140,74.9501921946,interleaved_SF_contrast,001,2,
,,1,0,high_8,"[4, 2, 2, 1]",0.1,8,3,29,114,down,1,db,0.11220184543,0,2016_maj_03_1140,74.9501921946,interleaved_SF_contrast,001,2,
,,1,0,low_2,"[4, 2, 2, 1]",0.001,2,0,29,115,up,1,db,0.011220184543,1,2016_maj_03_1140,74.9501921946,interleaved_SF_contrast,001,2,
,,1,0,high_8,"[4, 2, 2, 1]",0.1,8,3,30,116,up,1,db,0.125892541179,1,2016_maj_03_1140,74.9501921946,interleaved_SF_contrast,001,2,
,,1,0,low_2,"[4, 2, 2, 1]",0.001,2,0,30,117,up,1,db,0.011220184543,1,2016_maj_03_1140,74.9501921946,interleaved_SF_contrast,001,2,
,,1,0,low_8,"[4, 2, 2, 1]",0.001,8,2,30,118,up,2,db,0.0125892541179,1,2016_maj_03_1140,74.9501921946,interleaved_SF_contrast,001,2,
,,1,0,high_2,"[4, 2, 2, 1]",0.1,2,1,30,119,up,1,db,0.0141253754462,1,2016_maj_03_1140,74.9501921946,interleaved_SF_contrast,001,2,
,,1,0,high_2,"[4, 2, 2, 1]",0.1,2,1,31,120,up,1,db,0.0141253754462,1,2016_maj_03_1140,74.9501921946,interleaved_SF_contrast,001,2,
,,1,0,low_8,"[4, 2, 2, 1]",0.001,8,2,31,121,down,2,db,0.01,1,2016_maj_03_1140,74.9501921946,interleaved_SF_contrast,001,2,
,,1,0,high_8,"[4, 2, 2, 1]",0.1,8,3,31,122,up,1,db,0.125892541179,1,2016_maj_03_1140,74.9501921946,interleaved_SF_contrast,001,2,
,,1,0,low_2,"[4, 2, 2, 1]",0.001,2,0,31,123,up,1,db,0.011220184543,0,2016_maj_03_1140,74.9501921946,interleaved_SF_contrast,001,2,
,,1,0,high_8,"[4, 2, 2, 1]",0.1,8,3,32,124,up,1,db,0.125892541179,1,2016_maj_03_1140,74.9501921946,interleaved_SF_contrast,001,2,
,,1,0,low_8,"[4, 2, 2, 1]",0.001,8,2,32,125,down,2,db,0.01,1,2016_maj_03_1140,74.9501921946,interleaved_SF_contrast,001,2,
,,1,0,high_2,"[4, 2, 2, 1]",0.1,2,1,32,126,down,1,db,0.0125892541179,0,2016_maj_03_1140,74.9501921946,interleaved_SF_contrast,001,2,
,,1,0,low_2,"[4, 2, 2, 1]",0.001,2,0,32,127,up,1,db,0.0125892541179,0,2016_maj_03_1140,74.9501921946,interleaved_SF_contrast,001,2,
,,1,0,high_8,"[4, 2, 2, 1]",0.1,8,3,33,128,down,1,db,0.11220184543,1,2016_maj_03_1140,74.9501921946,interleaved_SF_contrast,001,2,
